Item_Key,Item_Number,Item_Type,Phase,Column_Name
1,1,Enjoyment,Pre,Pre_Enjoy_Item_1
2,2,Enjoyment,Pre,Pre_Enjoy_Item_2
3,3,Enjoyment,Pre,Pre_Enjoy_Item_3
4,4,Enjoyment,Pre,Pre_Enjoy_Item_4
5,5,Enjoyment,Pre,Pre_Enjoy_Item_5
6,6,Enjoyment,Pre,Pre_Enjoy_Item_6
7,7,Enjoyment,Pre,Pre_Enjoy_Item_7
8,8,Enjoyment,Pre,Pre_Enjoy_Item_8
9,9,Enjoyment,Pre,Pre_Enjoy_Item_9
10,10,Enjoyment,Pre,Pre_Enjoy_Item_10
11,11,Enjoyment,Pre,Pre_Enjoy_Item_11
12,12,Enjoyment,Pre,Pre_Enjoy_Item_12
13,13,Enjoyment,Pre,Pre_Enjoy_Item_13
14,14,Enjoyment,Pre,Pre_Enjoy_Item_14
15,15,Enjoyment,Pre,Pre_Enjoy_Item_15
16,16,Enjoyment,Pre,Pre_Enjoy_Item_16
17,17,Enjoyment,Pre,Pre_Enjoy_Item_17
18,18,Enjoyment,Pre,Pre_Enjoy_Item_18
19,19,Enjoyment,Pre,Pre_Enjoy_Item_19
20,20,Enjoyment,Pre,Pre_Enjoy_Item_20
21,21,Enjoyment,Pre,Pre_Enjoy_Item_21
22,22,Enjoyment,Pre,Pre_Enjoy_Item_22
23,23,Enjoyment,Pre,Pre_Enjoy_Item_23
24,24,Enjoyment,Pre,Pre_Enjoy_Item_24
25,25,Enjoyment,Pre,Pre_Enjoy_Item_25
26,26,Enjoyment,Pre,Pre_Enjoy_Item_26
27,27,Enjoyment,Pre,Pre_Enjoy_Item_27
28,28,Enjoyment,Pre,Pre_Enjoy_Item_28
29,29,Enjoyment,Pre,Pre_Enjoy_Item_29
30,30,Enjoyment,Pre,Pre_Enjoy_Item_30
31,31,Enjoyment,Pre,Pre_Enjoy_Item_31
32,32,Enjoyment,Pre,Pre_Enjoy_Item_32
33,1,Enjoyment,Post,Post_Enjoy_Item_1
34,2,Enjoyment,Post,Post_Enjoy_Item_2
35,3,Enjoyment,Post,Post_Enjoy_Item_3
36,4,Enjoyment,Post,Post_Enjoy_Item_4
37,5,Enjoyment,Post,Post_Enjoy_Item_5
38,6,Enjoyment,Post,Post_Enjoy_Item_6
39,7,Enjoyment,Post,Post_Enjoy_Item_7
40,8,Enjoyment,Post,Post_Enjoy_Item_8
41,9,Enjoyment,Post,Post_Enjoy_Item_9
42,10,Enjoyment,Post,Post_Enjoy_Item_10
43,11,Enjoyment,Post,Post_Enjoy_Item_11
44,12,Enjoyment,Post,Post_Enjoy_Item_12
45,13,Enjoyment,Post,Post_Enjoy_Item_13
46,14,Enjoyment,Post,Post_Enjoy_Item_14
47,15,Enjoyment,Post,Post_Enjoy_Item_15
48,16,Enjoyment,Post,Post_Enjoy_Item_16
49,17,Enjoyment,Post,Post_Enjoy_Item_17
50,18,Enjoyment,Post,Post_Enjoy_Item_18
51,19,Enjoyment,Post,Post_Enjoy_Item_19
52,20,Enjoyment,Post,Post_Enjoy_Item_20
53,21,Enjoyment,Post,Post_Enjoy_Item_21
54,22,Enjoyment,Post,Post_Enjoy_Item_22
55,23,Enjoyment,Post,Post_Enjoy_Item_23
56,24,Enjoyment,Post,Post_Enjoy_Item_24
57,25,Enjoyment,Post,Post_Enjoy_Item_25
58,26,Enjoyment,Post,Post_Enjoy_Item_26
59,27,Enjoyment,Post,Post_Enjoy_Item_27
60,28,Enjoyment,Post,Post_Enjoy_Item_28
61,29,Enjoyment,Post,Post_Enjoy_Item_29
62,30,Enjoyment,Post,Post_Enjoy_Item_30
63,31,Enjoyment,Post,Post_Enjoy_Item_31
64,32,Enjoyment,Post,Post_Enjoy_Item_32
65,1,Passion,N/A,Passion_Item_1
66,2,Passion,N/A,Passion_Item_2
67,3,Passion,N/A,Passion_Item_3
68,4,Passion,N/A,Passion_Item_4
69,5,Passion,N/A,Passion_Item_5
70,6,Passion,N/A,Passion_Item_6
71,7,Passion,N/A,Passion_Item_7
72,8,Passion,N/A,Passion_Item_8
73,9,Passion,N/A,Passion_Item_9
74,10,Passion,N/A,Passion_Item_10
75,11,Passion,N/A,Passion_Item_11
76,12,Passion,N/A,Passion_Item_12
77,13,Passion,N/A,Passion_Item_13
78,14,Passion,N/A,Passion_Item_14
79,15,Passion,N/A,Passion_Item_15
80,16,Passion,N/A,Passion_Item_16
81,17,Passion,N/A,Passion_Item_17
82,18,Passion,N/A,Passion_Item_18
83,19,Passion,N/A,Passion_Item_19
84,20,Passion,N/A,Passion_Item_20
85,21,Passion,N/A,Passion_Item_21
86,22,Passion,N/A,Passion_Item_22
87,23,Passion,N/A,Passion_Item_23
88,24,Passion,N/A,Passion_Item_24
89,25,Passion,N/A,Passion_Item_25
90,26,Passion,N/A,Passion_Item_26
91,27,Passion,N/A,Passion_Item_27
92,28,Passion,N/A,Passion_Item_28
93,29,Passion,N/A,Passion_Item_29
94,30,Passion,N/A,Passion_Item_30
