Student_Key,Student_ID,Group_ID
1,anon_198abda533,GP1_Robot
2,anon_84bc5117cd,GP2_Robot_Advanced
3,anon_a731bea757,GP2_Robot_Advanced
4,anon_c197d504d8,GP2_Robot_Advanced
5,anon_f7e089d676,GP2_Robot_Advanced
6,anon_cda3628f87,GP2_Robot_Advanced
7,anon_6a9fb520a3,GP2_Robot_Advanced
8,anon_09033f76ab,GP2_Robot_Advanced
9,anon_8fba1f4d62,GP2_Robot_Advanced
10,anon_6bc3de588b,GP2_Robot_Advanced
11,anon_947126d417,GP2_Robot_Advanced
12,anon_d49b463072,GP2_Robot_Advanced
13,anon_007a2dd080,GP2_Robot_Advanced
14,anon_12e5987ccc,GP2_Robot_Advanced
15,anon_f7e336f416,GP2_Robot_Advanced
16,anon_1629090338,GP2_Robot_Advanced
17,anon_594dc1df4a,GP2_Robot_Advanced
18,anon_8bd3670dbe,GP2_Robot_Advanced
19,anon_3000aff485,GP2_Robot_Advanced
20,anon_17d7a79ba8,GP2_Robot_Advanced
21,anon_95a7cc4362,GP2_Robot_Advanced
22,anon_5dccc77300,GP2_Robot_Advanced
23,anon_ce26f2aecc,GP2_Robot_Advanced
24,anon_a32eaaeba3,GP2_Robot_Advanced
25,anon_7997b6a0ce,GP2_Robot_Advanced
26,anon_24682938e3,GP2_Robot_Advanced
27,anon_1bb79bd532,GP2_Robot_Advanced
28,anon_61f7d59b83,GP2_Robot_Advanced
29,anon_c9d2aa1497,GP2_Robot_Advanced
30,anon_4464f6553a,GP2_Robot_Advanced
31,anon_c5eb8aec3e,GP2_Robot_Advanced
32,anon_96180d4e48,GP2_Robot_Advanced
33,anon_043e94c339,GP2_Robot_Advanced
34,anon_58c2a9f784,GP2_Robot_Advanced
35,anon_186da2bc88,GP2_Robot_Advanced
36,anon_11f21e32a4,GP2_Robot_Advanced
37,anon_78bf9ecc7e,GP2_Robot_Advanced
38,anon_64c2703607,GP2_Robot_Advanced
39,anon_cef068763c,GP2_Robot_Advanced
40,anon_6f151e7f42,GP2_Robot_Advanced
41,anon_cb08cc903d,GP2_Robot_Advanced
42,anon_2099ea181f,GP2_Robot_Advanced
43,anon_984f681b9f,GP2_Robot_Advanced
44,anon_8fa5560e60,GP2_Robot_Advanced
45,anon_158d084404,GP2_Robot_Advanced
46,anon_4a309e7c94,GP2_Robot_Advanced
47,anon_314b904946,GP2_Robot_Advanced
48,anon_cc6baa9b7b,GP2_Robot_Advanced
49,anon_6058cbdb6e,GP2_Robot_Advanced
50,anon_3841940b82,GP2_Robot_Advanced
51,anon_1a554722cc,GP2_Robot_Advanced
52,anon_1ca1c5ea7f,GP2_Robot_Advanced
53,anon_6faad16b78,GP2_Robot_Advanced
54,anon_d70722f3ff,GP2_Robot_Advanced
55,anon_1030ae7a1e,GP2_Robot_Advanced
56,anon_fc1f9ad8c3,GP2_Robot_Advanced
57,anon_2858b13812,GP2_Robot_Advanced
58,anon_0312c188c5,GP2_Robot_Advanced
59,anon_adb32b16e2,GP2_Robot_Advanced
60,anon_9db8ff0c90,GP2_Robot_Advanced
61,anon_2e95106ff3,GP2_Robot_Advanced
62,anon_9d27662edc,GP2_Robot_Advanced
63,anon_ad531f5e24,GP2_Robot_Advanced
64,anon_8ec543b4d2,GP2_Robot_Advanced
65,anon_63269c979b,GP2_Robot_Advanced
66,anon_413dae7468,GP2_Robot_Advanced
67,anon_3876a41ff2,GP2_Robot_Advanced
68,anon_0761f96fd7,GP2_Robot_Advanced
69,anon_2dfd3b6c91,GP2_Robot_Advanced
70,anon_568f655f81,GP2_Robot_Advanced
71,anon_e47d8a3c44,GP2_Robot_Advanced
72,anon_9edc867807,GP2_Robot_Advanced
73,anon_39b1e22a2c,GP2_Robot_Advanced
74,anon_5bcbeeddcd,GP2_Robot_Advanced
75,anon_34c1b5103d,GP2_Robot_Advanced
76,anon_07d6f394e6,GP2_Robot_Advanced
77,anon_0b433247ff,GP2_Robot_Advanced
78,anon_b69bba34dc,GP2_Robot_Advanced
79,anon_e289b8e183,GP2_Robot_Advanced
80,anon_039bc29239,GP2_Robot_Advanced
81,anon_71ed5662a4,GP2_Robot_Advanced
82,anon_9c51dc1bc4,GP2_Robot_Advanced
83,anon_d9440e9c24,GP2_Robot_Advanced
84,anon_4aacd7a5c1,GP2_Robot_Advanced
85,anon_2e0096fa54,GP2_Robot_Advanced
86,anon_e9945fd402,GP2_Robot_Advanced
87,anon_44bab53ead,GP2_Robot_Advanced
88,anon_03e12f6026,GP2_Robot_Advanced
89,anon_1ca541f7f6,GP2_Robot_Advanced
90,anon_f8f15c54c0,GP2_Robot_Advanced
91,anon_de623eff03,GP1_Robot
92,anon_e4f0be357b,GP1_Robot
93,anon_5e8c971345,GP1_Robot
94,anon_31e5e6b10a,GP1_Robot
95,anon_cee2cae677,GP1_Robot
96,anon_961cc19724,GP1_Robot
97,anon_15a6c9c363,GP1_Robot
98,anon_9757fda1aa,GP1_Robot
99,anon_edfd97f55e,GP1_Robot
100,anon_76b47e9166,GP1_Robot
101,anon_66e0810a93,GP1_Robot
102,anon_c2a58564f9,GP1_Robot
103,anon_723c17525d,GP2_Robot_Advanced
104,anon_7f4fc6be13,GP1_Robot
105,anon_609f465bb7,GP1_Robot
106,anon_6124bb4e81,GP1_Robot
107,anon_0a215811a2,GP1_Robot
108,anon_f4d0a8c220,GP1_Robot
109,anon_364d700f5d,GP1_Robot
110,anon_ab09d4b6cb,GP1_Robot
111,anon_1a247809eb,GP1_Robot
112,anon_238187457c,GP1_Robot
113,anon_33f3c0ebca,GP1_Robot
114,anon_11578b65da,GP1_Robot
115,anon_270f5d95ab,GP1_Robot
116,anon_77bfe01bc6,GP1_Robot
117,anon_950d36c309,GP1_Robot
118,anon_83b9e56325,GP1_Robot
119,anon_4b77d7615b,GP1_Robot
120,anon_e3d16d9315,GP1_Robot
121,anon_4d76265533,GP1_Robot
122,anon_1d4b99f96e,GP1_Robot
123,anon_586235109c,GP1_Robot
124,anon_20f24672d1,GP1_Robot
125,anon_178ac0fb5c,GP1_Robot
126,anon_4e1b09b85e,GP1_Robot
127,anon_629961a20f,GP1_Robot
128,anon_34f0c5eea3,GP1_Robot
129,anon_ca3127554e,GP1_Robot
130,anon_5574cc47be,GP1_Robot
131,anon_a7fc316687,GP1_Robot
132,anon_35d3426c73,GP1_Robot
133,anon_d8649c6d5d,GP1_Robot
134,anon_b5a97fb43c,GP1_Robot
135,anon_b4b7e1771d,GP1_Robot
136,anon_f366684a7d,GP1_Robot
137,anon_79a01d2500,GP1_Robot
138,anon_4c0b32bff4,GP1_Robot
139,anon_2153d82047,GP1_Robot
140,anon_70a098915c,GP1_Robot
141,anon_2aba693a42,GP1_Robot
142,anon_dd0aa1db93,GP1_Robot
143,anon_792e0f0d55,GP1_Robot
144,anon_6f30794fdb,GP1_Robot
145,anon_ce0fc58b0d,GP1_Robot
146,anon_4b670ef4cc,GP1_Robot
147,anon_5c3094a6d0,GP1_Robot
148,anon_8c9f8a8933,GP1_Robot
149,anon_5fb4c73f4a,GP1_Robot
150,anon_948aacbd8c,GP1_Robot
151,anon_cdde0bcde9,GP1_Robot
152,anon_8040230f62,GP2_Robot_Advanced
153,anon_5889216d84,GP2_Robot_Advanced
154,anon_8736b53185,GP2_Robot_Advanced
155,anon_270a007bdd,GP2_Robot_Advanced
156,anon_f20716d15b,GP2_Robot_Advanced
157,anon_7f061eea65,GP2_Robot_Advanced
158,anon_e8c815c1e3,GP2_Robot_Advanced
159,anon_41b4a51ccf,GP1_Robot
160,anon_7adf0f4d8f,GP1_Robot
161,anon_456bb2dc09,GP1_Robot
162,anon_aa0b294e40,GP1_Robot
163,anon_f74b58d3d3,GP1_Robot
164,anon_df637affb1,GP1_Robot
165,anon_5e661fc187,GP1_Robot
166,anon_46c5b48d5e,GP1_Robot
167,anon_a4978eedca,GP1_Robot
168,anon_931d107bde,GP1_Robot
169,anon_48db065ec2,GP1_Robot
170,anon_ccf67b4bdd,GP1_Robot
171,anon_feac78e797,GP1_Robot
172,anon_9a62f03b0f,GP1_Robot
173,anon_8b29b9d225,GP1_Robot
174,anon_1cbace042d,GP1_Robot
175,anon_2c0ef836c0,GP1_Robot
176,anon_8e0a0af4a2,GP1_Robot
177,anon_49e5ed867a,GP1_Robot
178,anon_80bd0a9d3b,GP1_Robot
179,anon_f93da2ab84,GP1_Robot
180,anon_a72f6346cd,GP1_Robot
181,anon_7d171c766e,GP1_Robot
182,anon_35a0048bf4,GP2_Robot_Advanced
