Fact_ID,Student_Key,Group_Key,Total_Pre_Test,Total_Post_Test,Test_Knowledge_Gain,Total_Pre_Enjoyment,Total_Post_Enjoyment,Total_Passion,Passion_Learning_Efficiency
1,1,1,27,57,30,75,84,73,0.781
2,2,2,22,56,34,80,83,83,0.675
3,3,2,24,54,30,83,86,79,0.684
4,4,2,20,62,42,75,89,79,0.785
5,5,2,27,55,28,78,76,82,0.671
6,6,2,40,54,14,80,82,80,0.675
7,7,2,27,56,29,80,86,71,0.789
8,8,2,26,48,22,70,82,73,0.658
9,9,2,26,47,21,71,79,73,0.644
10,10,2,28,59,31,73,77,75,0.787
11,11,2,33,60,27,77,98,85,0.706
12,12,2,24,53,29,81,84,72,0.736
13,13,2,36,56,20,72,77,82,0.683
14,14,2,32,51,19,78,86,79,0.646
15,15,2,31,54,23,74,85,72,0.75
16,16,2,33,56,23,79,78,73,0.767
17,17,2,20,58,38,78,82,66,0.879
18,18,2,28,60,32,73,87,70,0.857
19,19,2,24,55,31,71,83,78,0.705
20,20,2,25,60,35,78,86,68,0.882
21,21,2,22,58,36,77,90,70,0.829
22,22,2,27,56,29,73,91,74,0.757
23,23,2,25,54,29,78,77,71,0.761
24,24,2,25,53,28,83,95,75,0.707
25,25,2,32,56,24,70,79,81,0.691
26,26,2,26,52,26,81,82,72,0.722
27,27,2,16,56,40,75,80,74,0.757
28,28,2,31,58,27,75,87,76,0.763
29,29,2,29,53,24,78,83,73,0.726
30,30,2,33,58,25,72,79,80,0.725
31,31,2,30,52,22,74,79,83,0.627
32,32,2,29,55,26,70,80,71,0.775
33,33,2,20,50,30,75,80,78,0.641
34,34,2,23,55,32,81,81,74,0.743
35,35,2,25,51,26,74,88,78,0.654
36,36,2,34,56,22,79,84,84,0.667
37,37,2,39,59,20,73,81,73,0.808
38,38,2,28,61,33,76,80,75,0.813
39,39,2,32,56,24,76,80,81,0.691
40,40,2,27,55,28,74,83,81,0.679
41,41,2,37,54,17,77,81,70,0.771
42,42,2,30,50,20,78,78,76,0.658
43,43,2,23,51,28,81,80,77,0.662
44,44,2,22,57,35,73,93,75,0.76
45,45,2,31,57,26,78,74,72,0.792
46,46,2,29,53,24,81,88,73,0.726
47,47,2,25,56,31,79,85,80,0.7
48,48,2,28,61,33,82,74,77,0.792
49,49,2,20,52,32,85,82,71,0.732
50,50,2,32,52,20,74,86,73,0.712
51,51,2,24,61,37,79,86,76,0.803
52,52,2,26,53,27,73,82,77,0.688
53,53,2,27,56,29,81,80,77,0.727
54,54,2,28,56,28,77,80,71,0.789
55,55,2,25,57,32,82,96,69,0.826
56,56,2,28,53,25,72,78,78,0.679
57,57,2,23,58,35,76,85,74,0.784
58,58,2,32,54,22,73,83,72,0.75
59,59,2,21,60,39,78,92,78,0.769
60,60,2,29,60,31,76,78,73,0.822
61,61,2,24,53,29,71,83,73,0.726
62,62,2,26,60,34,70,93,74,0.811
63,63,2,32,58,26,80,84,87,0.667
64,64,2,27,55,28,76,94,67,0.821
65,65,2,32,55,23,74,75,71,0.775
66,66,2,22,55,33,79,87,77,0.714
67,67,2,24,53,29,73,84,82,0.646
